Título,Precio,Moneda,Expensas,Ubicación,Superficie,Estado,Ambientes,Baños,Antigüedad,Barrio
"Caballito, Capital Federal",470000,ARS,74961,"Rojas 300, Piso 3",31.0,,1 dorm.,,46,Caballito
"Caballito, Capital Federal",450000,ARS,84121,"Rojas 400, Piso 4",33.0,,1 dorm.,,45,Caballito
"Recoleta, Barrio Norte",650000,ARS,96180,"Cordoba 2600, Piso 8",47.0,,2 dorm.,,40,Recoleta
"Recoleta, Barrio Norte",590000,ARS,105000,Doctor Tomás Manuel De Anchorena 1300,36.0,A Estrenar,,1,,Recoleta
"Recoleta, Barrio Norte",500000,ARS,105000,"JUNCAL 1100, Piso 4",35.0,,1 dorm.,,60,Recoleta
"Barrio Norte, Capital Federal",550000,ARS,,"*RESERVADO * 2000, Piso 3",39.0,,1 dorm.,,40,Barrio Norte
"Caballito, Capital Federal",1000000,ARS,230000,"J Bonifacio 600, Piso 1",70.0,,2 dorm.,,10,Caballito
"Caballito Sur, Caballito",1300000,ARS,320000,"DOBLAS 900, Piso 21",70.0,,2 dorm.,,4,Caballito
"Palermo, Capital Federal",990000,ARS,280000,"Godoy Cruz 2900, Piso 10",85.0,,3 dorm.,,49,Palermo
"Las Cañitas, Palermo",1100,USD,227000,Arce al 200,50.0,,1 dorm.,,24,Palermo
"Palermo, Capital Federal",950000,ARS,250000,"JUNCAL 2800, Piso 5",75.0,,3 dorm.,,40,Palermo
"Caballito, Capital Federal",450000,ARS,61000,"Juan Bautista Alberdi 800, Piso 4",33.0,,1 dorm.,,40,Caballito
"Recoleta, Barrio Norte",590,USD,,"Vicente Lopez 1900, Piso 2",32.0,Contra frente,,,,Recoleta
"Caballito, Capital Federal",900000,ARS,90000,"Aranguren 1900, Piso 9",50.0,A Estrenar,1 dorm.,,,Caballito
"Flores, Capital Federal",400000,ARS,72180,"Alberdi 2800, Piso 3",27.0,,,1,5,Flores
"Flores, Capital Federal",650000,ARS,140000,"Argerich 1000, Piso 7",60.0,,2 dorm.,,40,Flores
"Cid Campeador, Caballito",650000,ARS,90000,"AV. ACOYTE 700, Piso 2",,A Estrenar,1 dorm.,1,,Caballito
"Caballito, Capital Federal",870000,ARS,214453,"Hidalgo 300, Piso 6",55.0,,2 dorm.,,15,Caballito
"Recoleta, Barrio Norte",550000,ARS,170000,"Av santa fe 2000, Piso 1",50.0,,1 dorm.,,50,Recoleta
"Palermo, Capital Federal",630000,ARS,,Avenida Luis María Campos 300,45.0,,1 dorm.,,,Palermo
