Título,Precio,Moneda,Expensas,Ubicación,Superficie,Estado,Ambientes,Baños,Antigüedad,Barrio,Precio_Pesos,Precio_m2,Cluster,Tipo_Propiedad
"Caballito, Capital Federal",470000.0,ARS,74961.0,"Rojas 300, Piso 3",31.0,,1 dorm.,,46.0,Caballito,470000.0,15161.290322580646,0,Compact and budget-friendly
"Caballito, Capital Federal",450000.0,ARS,84121.0,"Rojas 400, Piso 4",33.0,,1 dorm.,,45.0,Caballito,450000.0,13636.363636363636,0,Compact and budget-friendly
"Recoleta, Barrio Norte",650000.0,ARS,96180.0,"Cordoba 2600, Piso 8",47.0,,2 dorm.,,40.0,Recoleta,650000.0,13829.787234042553,0,Compact and budget-friendly
"Recoleta, Barrio Norte",590000.0,ARS,105000.0,Doctor Tomás Manuel De Anchorena 1300,36.0,A Estrenar,,1.0,,Recoleta,590000.0,16388.88888888889,2,Spacious and affordable
"Recoleta, Barrio Norte",500000.0,ARS,105000.0,"JUNCAL 1100, Piso 4",35.0,,1 dorm.,,60.0,Recoleta,500000.0,14285.714285714286,0,Compact and budget-friendly
"Caballito, Capital Federal",1000000.0,ARS,230000.0,"J Bonifacio 600, Piso 1",70.0,,2 dorm.,,10.0,Caballito,1000000.0,14285.714285714286,1,Exclusive premium
"Caballito Sur, Caballito",1300000.0,ARS,320000.0,"DOBLAS 900, Piso 21",70.0,,2 dorm.,,4.0,Caballito,1300000.0,18571.428571428572,3,High price per m²
"Palermo, Capital Federal",990000.0,ARS,280000.0,"Godoy Cruz 2900, Piso 10",85.0,,3 dorm.,,49.0,Palermo,990000.0,11647.058823529413,1,Exclusive premium
"Las Cañitas, Palermo",1100.0,USD,227000.0,Arce al 200,50.0,,1 dorm.,,24.0,Palermo,1256200.0,25124.0,3,High price per m²
"Palermo, Capital Federal",950000.0,ARS,250000.0,"JUNCAL 2800, Piso 5",75.0,,3 dorm.,,40.0,Palermo,950000.0,12666.666666666666,1,Exclusive premium
"Caballito, Capital Federal",450000.0,ARS,61000.0,"Juan Bautista Alberdi 800, Piso 4",33.0,,1 dorm.,,40.0,Caballito,450000.0,13636.363636363636,0,Compact and budget-friendly
"Caballito, Capital Federal",900000.0,ARS,90000.0,"Aranguren 1900, Piso 9",50.0,A Estrenar,1 dorm.,,,Caballito,900000.0,18000.0,2,Spacious and affordable
"Flores, Capital Federal",400000.0,ARS,72180.0,"Alberdi 2800, Piso 3",27.0,,,1.0,5.0,Flores,400000.0,14814.814814814816,0,Compact and budget-friendly
"Flores, Capital Federal",650000.0,ARS,140000.0,"Argerich 1000, Piso 7",60.0,,2 dorm.,,40.0,Flores,650000.0,10833.333333333334,1,Exclusive premium
"Caballito, Capital Federal",870000.0,ARS,214453.0,"Hidalgo 300, Piso 6",55.0,,2 dorm.,,15.0,Caballito,870000.0,15818.181818181818,2,Spacious and affordable
"Recoleta, Barrio Norte",550000.0,ARS,170000.0,"Av santa fe 2000, Piso 1",50.0,,1 dorm.,,50.0,Recoleta,550000.0,11000.0,1,Exclusive premium
"Recoleta, Barrio Norte",800000.0,ARS,177000.0,Laprida 1200,52.0,,2 dorm.,,50.0,Recoleta,800000.0,15384.615384615385,2,Spacious and affordable
"Caballito Sur, Caballito",780000.0,ARS,137000.0,Victor Martínez 100,65.0,,2 dorm.,,50.0,Caballito,780000.0,12000.0,1,Exclusive premium
"Flores, Capital Federal",650000.0,ARS,190000.0,"YERBAL 2100, Piso 1",55.0,,1 dorm.,,10.0,Flores,650000.0,11818.181818181818,1,Exclusive premium
"Botanico, Palermo",950000.0,ARS,182000.0,"Julián Alvarez 2500, Piso 4",72.0,,2 dorm.,,50.0,Palermo,950000.0,13194.444444444445,1,Exclusive premium
"Caballito Sur, Caballito",890000.0,ARS,200000.0,Cipriano Miro 500,47.0,,1 dorm.,,14.0,Caballito,890000.0,18936.17021276596,2,Spacious and affordable
"Recoleta, Barrio Norte",550000.0,ARS,150000.0,Paraguay 2300,42.0,,1 dorm.,,38.0,Recoleta,550000.0,13095.238095238095,1,Exclusive premium
"Primera Junta, Caballito",650000.0,ARS,100000.0,"Bogota 700, Piso 1",40.0,,1 dorm.,,8.0,Caballito,650000.0,16250.0,2,Spacious and affordable
"Palermo Hollywood, Palermo",750000.0,ARS,90000.0,"Dr E Ravignani 2000, Piso 7",34.0,,,1.0,3.0,Palermo,750000.0,22058.823529411766,2,Spacious and affordable
"Recoleta, Barrio Norte",550000.0,ARS,150000.0,"Montevideo 1900, Piso 1",42.0,,1 dorm.,,,Recoleta,550000.0,13095.238095238095,1,Exclusive premium
"Recoleta, Barrio Norte",500000.0,ARS,70000.0,Austria 2100,28.0,Monoam.,,,50.0,Recoleta,500000.0,17857.14285714286,0,Compact and budget-friendly
"Villa Crespo, Capital Federal",750000.0,ARS,50000.0,"Loyola 400, Piso 1",48.0,,1 dorm.,,60.0,Villa Crespo,750000.0,15625.0,0,Compact and budget-friendly
"Caballito Sur, Caballito",680000.0,ARS,90000.0,"San José de Calasanz 700, Piso 1",40.0,,1 dorm.,,10.0,Caballito,680000.0,17000.0,2,Spacious and affordable
"Recoleta, Barrio Norte",490000.0,ARS,136000.0,Arenales 1100,32.0,,1 dorm.,1.0,,Recoleta,490000.0,15312.5,0,Compact and budget-friendly
"Palermo Soho, Palermo",430000.0,ARS,100000.0,"Thames 1800, Piso 3",40.0,,1 dorm.,,60.0,Palermo,430000.0,10750.0,0,Compact and budget-friendly
"San Nicolás, Centro",430000.0,ARS,196000.0,"VIAMONTE 1300, Piso 2",33.0,,,1.0,8.0,San Nicolás,430000.0,13030.30303030303,1,Exclusive premium
"Barrio Norte, Capital Federal",790000.0,ARS,160000.0,"Av Gral Juan M De Pueyrredon 900, Piso 10",90.0,,2 dorm.,1.0,,Barrio Norte,790000.0,8777.777777777777,1,Exclusive premium
"Botanico, Palermo",850000.0,ARS,180000.0,"República de la India 2700, Piso 5",55.0,,2 dorm.,,60.0,Palermo,850000.0,15454.545454545454,2,Spacious and affordable
"Palermo Hollywood, Palermo",550000.0,ARS,135000.0,Angel Justiniano Carranza 2200,37.0,,,1.0,8.0,Palermo,550000.0,14864.864864864865,0,Compact and budget-friendly
"Caballito, Capital Federal",840000.0,ARS,110000.0,"F Senillosa 200, Piso PB",68.0,,2 dorm.,2.0,,Caballito,840000.0,12352.941176470587,1,Exclusive premium
